id,code,name,created_at
1,abc11,Тест тестович,2026-06-10 08:08:01.824984+00
2,minus1000,Дмитрий Н.,2026-06-10 10:39:16.943202+00
3,kef_ne_zashel,Максим Н.,2026-06-10 10:39:16.943202+00
4,saas_cashout,Саас,2026-06-10 10:39:16.943202+00
5,vabank_i_domoy,Евгений Г.,2026-06-10 10:39:16.943202+00
6,penalty_93,Алексей Ж.,2026-06-10 10:39:16.943202+00
7,sosed_insaid,Александр З.,2026-06-10 10:39:16.943202+00
8,popan_goda,Иван М.,2026-06-10 10:39:16.943202+00
9,dogon_do_zp,Александр К.,2026-06-10 10:39:16.943202+00
10,stavka_na_h2h,Никита К.,2026-06-10 10:39:16.943202+00
11,ya_tochno_znayu,Илья Б.,2026-06-10 10:39:16.943202+00
12,ekspress_iz_15,Илья П.,2026-06-10 10:39:16.943202+00
13,minus_na_pivo,Евгений П.,2026-06-10 10:39:16.943202+00
14,koroleva_kefov,Екатерина Ж.,2026-06-10 10:39:16.943202+00
15,kef_1_01,Валентин Н.,2026-06-10 10:39:16.943202+00
16,vtoroy_taym,Григорий Б.,2026-06-10 10:39:16.943202+00
17,lucky_loser,София Т.,2026-06-10 10:39:16.943202+00
18,f5_analitik,Татьяна А.,2026-06-10 10:39:16.943202+00
19,ne_stavlyu_no,Ирина А.,2026-06-10 10:39:16.943202+00
20,zhelezobeton_100,Нурбала К.,2026-06-10 10:39:16.943202+00
21,prodam_prognoz,Андрей Л.,2026-06-10 10:39:16.943202+00
